accession,WT_1,WT_2,WT_3
LOC_Os05g35380,0,0,0
LOC_Os01g04360,5,2,1
LOC_Os08g06240,357,286,325
LOC_Os02g54970,0,1,0
LOC_Os02g46260,155,160,158
LOC_Os08g35990,0,3,0
LOC_Os11g09800,3,1,6
LOC_Os03g18990,0,1,1
LOC_Os03g03300,1,0,1
LOC_Os01g12650,40,57,49
LOC_Os10g14260,0,0,0
LOC_Os09g37730,5,1,7
LOC_Os10g21940,302,304,301
LOC_Os08g01400,8,6,13
LOC_Os02g03740,747,943,830
LOC_Os10g13880,42,20,32
LOC_Os10g27460,0,3,7
LOC_Os03g06835,100,87,76
LOC_Os09g21760,357,282,286
LOC_Os02g02640,20,16,14
LOC_Os04g20200,14,10,12
LOC_Os03g53150,330,385,423
LOC_Os08g29150,408,497,524
LOC_Os06g06570,20,12,16
LOC_Os01g65490,0,0,1
LOC_Os04g02110,424,338,392
LOC_Os04g33140,0,0,0
LOC_Os06g41290,8,10,15
LOC_Os07g17280,164,105,111
LOC_Os07g08729,316,310,285
LOC_Os12g01960,0,0,0
LOC_Os01g68500,48,36,38
LOC_Os12g14270,0,0,0
LOC_Os02g53180,3134,3338,3350
LOC_Os09g20920,5,2,4
LOC_Os12g06570,0,0,0
LOC_Os08g42080,0,3,3
LOC_Os10g41250,70,45,67
LOC_Os07g37420,689,567,713
LOC_Os02g03470,748,629,754
LOC_Os03g47260,3,8,8
LOC_Os10g18920,0,1,1
LOC_Os05g35190,214,140,215
LOC_Os04g57800,16,10,35
LOC_Os06g12930,1,1,1
LOC_Os08g09640,1,0,0
LOC_Os02g20970,147,122,170
LOC_Os10g36780,712,490,501
LOC_Os05g49300,144,96,144
LOC_Os07g27620,2,2,1
LOC_Os07g04990,24172,23550,22835
LOC_Os10g37690,167,149,196
LOC_Os09g23160,1142,1754,1470
LOC_Os02g25560,0,0,0
LOC_Os03g26870,143,91,123
LOC_Os03g16210,567,537,505
LOC_Os05g14980,346,290,277
LOC_Os01g55450,546,467,492
LOC_Os05g22920,465,397,478
