accession,WT_1,WT_2,WT_3
LOC_Os04g50060,53,46,64
LOC_Os05g05620,21,17,20
LOC_Os01g05770,0,1,1
LOC_Os09g27795,95,72,123
LOC_Os02g26160,13,23,13
LOC_Os09g16330,2263,2086,1933
LOC_Os08g43654,0,0,0
LOC_Os05g27530,182,158,199
LOC_Os04g40260,0,0,0
LOC_Os07g39270,687,1166,1012
LOC_Os02g14780,2245,2000,1891
LOC_Os01g60420,59,78,165
LOC_Os12g06510,255,319,367
LOC_Os07g02090,719,630,624
LOC_Os06g26340,2413,2313,2381
LOC_Os07g09890,270,222,255
LOC_Os06g34790,504,410,661
LOC_Os05g40170,30,21,22
LOC_Os06g04040,292,297,319
LOC_Os04g47180,171,138,189
LOC_Os01g43720,3,0,0
LOC_Os07g03060,32,20,20
LOC_Os01g44230,1428,1057,1114
LOC_Os05g41210,2120,1971,1985
LOC_Os05g07300,1612,1208,1404
LOC_Os08g39450,976,1065,1838
LOC_Os02g56550,359,370,346
ChrSy.fgenesh.mRNA.65,0,0,3
LOC_Os02g39850,350,279,443
LOC_Os06g50818,204,43,641
LOC_Os12g36720,339,265,245
LOC_Os09g29520,392,158,344
LOC_Os01g50000,15,4,10
LOC_Os03g32980,9,9,6
LOC_Os04g49060,61,79,78
LOC_Os04g44990,1,0,1
LOC_Os02g47440,584,495,645
LOC_Os08g44560,607,609,641
LOC_Os01g36590,0,5,0
LOC_Os10g41240,956,868,846
LOC_Os07g29950,1,2,5
LOC_Os05g06460,170,117,183
LOC_Os08g17390,370,560,510
LOC_Os04g12950,0,1,0
LOC_Os06g47280,0,0,0
LOC_Os08g09250,8053,9624,8926
LOC_Os06g33390,48,43,57
LOC_Os08g27824,177,165,180
LOC_Os09g22510,138,174,214
LOC_Os08g41220,1,0,1
LOC_Os07g07094,0,0,0
LOC_Os10g07998,3,2,2
LOC_Os05g31320,0,1,0
LOC_Os05g23398,0,0,0
LOC_Os07g24190,328,447,334
LOC_Os12g18220,2,1,2
LOC_Os02g09800,20,9,6
LOC_Os11g41170,460,343,509
LOC_Os01g59300,0,1,2
LOC_Os10g02350,291,283,261
LOC_Os06g38730,125,99,108
LOC_Os03g49860,0,0,0
LOC_Os01g47610,25,23,47
LOC_Os01g16870,2551,2447,2207
LOC_Os01g33540,406,400,427
LOC_Os07g17770,1,2,2
LOC_Os04g51650,0,0,0
LOC_Os02g15594,189,187,204
LOC_Os01g64780,781,823,1056
LOC_Os06g24730,2203,1132,1998
LOC_Os02g28760,0,2,0
LOC_Os08g15170,213,193,215
LOC_Os08g36370,10,8,5
LOC_Os10g26010,0,0,2
LOC_Os03g07000,3,3,3
LOC_Os06g08032,167,64,124
LOC_Os06g43940,172,113,161
LOC_Os01g65986,330,253,359
LOC_Os08g35670,0,0,1
LOC_Os02g49530,1014,854,943
LOC_Os01g34420,74,59,55
LOC_Os07g41070,7,10,8
LOC_Os05g34480,41,44,45
LOC_Os01g66544,3,3,3
LOC_Os02g20460,0,0,1
LOC_Os05g09420,2,3,5
LOC_Os03g59570,25,30,18
LOC_Os09g39474,142,115,149
LOC_Os03g03350,3,7,3
LOC_Os01g52900,0,0,0
LOC_Os01g05090,158,140,132
LOC_Os06g28720,0,0,1
LOC_Os09g25380,2,0,5
LOC_Os02g21925,69,16,71
LOC_Os05g11980,3,1,2
LOC_Os01g56800,1878,1535,1607
LOC_Os03g15740,3007,3733,3096
LOC_Os05g33510,4250,3938,3793
LOC_Os05g29860,230,286,263
LOC_Os01g71810,0,17,14
LOC_Os06g09090,870,936,912
LOC_Os01g36240,1,3,1
LOC_Os07g06090,21,3,8
LOC_Os02g11960,347,227,286
LOC_Os07g47250,189,260,187
LOC_Os06g48700,149,139,116
LOC_Os03g39610,239347,283925,251495
LOC_Os06g43960,113,136,115
LOC_Os08g05560,76,54,78
LOC_Os11g44690,21,19,14
LOC_Os02g51164,53,47,60
LOC_Os12g08025,102,82,82
LOC_Os09g12390,1,0,0
LOC_Os04g32840,0,0,3
LOC_Os03g38650,38,44,26
LOC_Os02g51040,0,0,0
LOC_Os11g02330,1,1,1
LOC_Os01g54515,0,0,1
LOC_Os10g13800,721,583,732
LOC_Os06g01980,410,381,338
LOC_Os04g54340,660,637,584
LOC_Os06g16210,0,0,1
LOC_Os04g56750,248,216,282
LOC_Os10g29514,67,43,63
LOC_Os03g58740,79,58,91
LOC_Os01g28980,6,4,4
LOC_Os01g50900,0,1,1
LOC_Os08g02590,1,0,2
LOC_Os05g48660,189,152,171
LOC_Os11g38000,519,453,477
LOC_Os12g19290,405,298,355
LOC_Os03g37630,3,0,12
LOC_Os07g06030,0,0,1
LOC_Os11g10570,5,2,2
LOC_Os06g39100,1,4,0
LOC_Os06g50706,16,2,5
LOC_Os01g72970,31,28,39
LOC_Os03g22550,181,142,140
LOC_Os05g05720,339,263,278
LOC_Os01g10450,2050,1327,1431
LOC_Os03g06210,5,9,7
LOC_Os11g39350,15,20,11
LOC_Os09g31486,267,250,268
LOC_Os08g41680,53,32,47
LOC_Os03g04340,1426,1446,1618
LOC_Os01g31970,0,0,0
LOC_Os08g07320,1,1,0
LOC_Os12g08090,1353,1636,2088
LOC_Os04g14710,218,143,243
LOC_Os03g17350,1,0,0
LOC_Os02g44108,0,1,0
LOC_Os07g31850,1803,1657,1614
LOC_Os10g35740,0,0,0
LOC_Os01g40180,23,13,15
LOC_Os02g18700,0,0,0
LOC_Os06g05880,1656,1453,1824
LOC_Os01g14980,220,144,200
LOC_Os07g32170,52,79,94
LOC_Os07g03540,6,6,4
LOC_Os01g07130,0,0,0
LOC_Os07g42470,1,0,1
LOC_Os08g04840,936,675,785
LOC_Os09g28040,482,462,516
LOC_Os03g61310,231,165,206
LOC_Os06g27910,19,17,15
LOC_Os11g07860,73,47,42
LOC_Os05g06750,451,400,426
LOC_Os06g08930,69,85,109
LOC_Os04g47810,117,115,127
LOC_Os01g27240,2,1,3
LOC_Os03g62370,5562,4133,4166
LOC_Os06g17320,0,0,0
LOC_Os01g41565,749,591,642
LOC_Os04g42540,0,0,0
LOC_Os02g16880,126,109,110
LOC_Os06g43370,9,6,4
LOC_Os02g26430,3,8,7
LOC_Os05g08110,10,13,24
LOC_Os10g21398,14,9,8
LOC_Os01g62310,0,0,0
LOC_Os03g40194,141,108,124
LOC_Os09g39870,440,378,396
LOC_Os07g04700,580,472,491
LOC_Os03g15230,156,103,125
LOC_Os03g09090,210,157,176
LOC_Os01g42620,188,166,179
LOC_Os10g39880,0,0,3
LOC_Os04g46320,40,37,80
LOC_Os05g03450,20,17,19
LOC_Os07g39030,4,2,6
LOC_Os02g31150,1602,1429,1594
LOC_Os02g18430,2,0,3
LOC_Os01g10230,0,0,0
LOC_Os02g26740,188,192,238
LOC_Os03g12720,137,161,104
LOC_Os03g47280,0,0,6
LOC_Os05g04170,687,655,604
LOC_Os09g15389,122,71,74
LOC_Os11g03670,105,94,82
LOC_Os01g43040,180,88,123
LOC_Os04g32560,12006,13822,11724
LOC_Os09g12160,0,0,1
LOC_Os09g15670,52,55,106
LOC_Os02g42560,17,12,13
LOC_Os03g20430,14,6,10
LOC_Os06g02028,1346,1256,1289
LOC_Os04g41620,4,21,2
LOC_Os08g09910,125,100,111
LOC_Os11g27430,89,77,102
LOC_Os05g08554,196,341,321
LOC_Os05g14860,726,683,849
LOC_Os04g41260,101,83,69
LOC_Os05g05820,192,179,118
LOC_Os11g05860,832,935,754
LOC_Os02g14860,315,259,325
LOC_Os06g44930,0,2,4
LOC_Os04g59510,659,611,617
LOC_Os12g02760,34,39,45
LOC_Os07g34940,28,14,17
LOC_Os09g28354,24,31,111
LOC_Os04g35670,1,1,0
LOC_Os08g22024,12,0,37
LOC_Os09g35900,113,94,122
LOC_Os07g47450,61,48,71
LOC_Os05g03865,287,55,561
LOC_Os03g47800,201,191,234
LOC_Os04g30230,0,1,0
LOC_Os01g08310,82,42,35
LOC_Os01g02400,1033,767,899
LOC_Os03g18200,5874,4970,6604
LOC_Os03g52475,16,15,13
LOC_Os03g62170,2582,2975,2713
LOC_Os02g43660,3,1,2
LOC_Os03g23010,3805,3082,4982
LOC_Os01g18260,0,0,0
LOC_Os02g20844,123,72,94
LOC_Os07g05830,0,1,1
LOC_Os12g41800,2149,1641,1946
LOC_Os02g32030,10982,11420,9542
LOC_Os11g16330,357,267,288
LOC_Os03g05920,165,66,152
LOC_Os04g25410,323,262,250
LOC_Os04g52670,16,19,16
LOC_Os09g39500,897,1024,1016
LOC_Os01g01640,764,640,730
LOC_Os10g42970,3,9,8
LOC_Os06g22850,337,244,325
LOC_Os10g35690,659,425,492
LOC_Os01g43740,37,30,26
LOC_Os04g58130,234,200,229
LOC_Os03g11350,0,0,0
LOC_Os03g43779,1,0,2
LOC_Os04g05460,1,1,1
LOC_Os06g25340,2,1,4
LOC_Os08g22864,1516,1247,1225
LOC_Os01g09200,981,732,825
LOC_Os11g41210,14,23,27
LOC_Os08g45130,81,67,79
LOC_Os07g30940,270,212,248
LOC_Os09g29130,88,79,87
LOC_Os09g02540,2,1,4
LOC_Os01g61350,110,65,124
LOC_Os02g42370,309,257,314
LOC_Os11g06670,27,33,27
LOC_Os08g04160,0,0,0
LOC_Os03g10440,0,2,2
LOC_Os04g43350,384,496,501
LOC_Os09g39760,0,0,0
LOC_Os04g44250,1,0,0
LOC_Os06g48660,2,3,2
LOC_Os02g58230,2892,2780,2609
LOC_Os05g29920,685,506,541
LOC_Os04g52130,3865,5260,4355
LOC_Os02g57340,308,238,266
LOC_Os02g19750,1,1,1
LOC_Os01g22490,2204,2373,2483
LOC_Os08g04320,0,41,0
LOC_Os01g36600,45,33,35
LOC_Os06g10090,1,0,1
LOC_Os04g43440,20,22,39
LOC_Os01g25770,2,0,1
LOC_Os04g59190,17,19,15
LOC_Os07g44220,0,0,1
LOC_Os01g67310,14,15,18
LOC_Os04g05950,0,0,0
LOC_Os02g01730,41,23,17
LOC_Os01g09140,0,0,2
LOC_Os07g44660,942,815,728
LOC_Os03g53270,1656,1553,1745
LOC_Os10g34020,2,2,3
LOC_Os01g74300,7451,8803,9396
LOC_Os06g15750,5,0,1
LOC_Os04g47320,6,5,12
LOC_Os11g16420,69,69,72
LOC_Os04g57840,0,1,6
LOC_Os04g42260,1,2,1
LOC_Os04g32310,20,34,33
LOC_Os01g71790,130,85,133
LOC_Os06g35960,0,0,0
LOC_Os12g31620,2,1,3
LOC_Os01g12770,482,355,426
LOC_Os02g33000,9,7,15
LOC_Os10g08010,16,15,25
LOC_Os08g07840,287,193,238
LOC_Os04g47790,1,1,0
LOC_Os08g20620,1,5,6
LOC_Os06g12520,1,0,1
LOC_Os04g09604,518,180,193
LOC_Os05g36110,369,322,350
LOC_Os11g09110,172,172,207
LOC_Os09g22240,11,12,11
LOC_Os01g49630,9,15,12
LOC_Os09g15320,99,121,102
LOC_Os01g73620,1768,1693,1714
LOC_Os08g28240,1,0,1
LOC_Os03g12930,385,259,355
LOC_Os07g44330,3552,3983,3904
LOC_Os01g22954,9,11,5
LOC_Os08g37444,4146,4100,5395
LOC_Os09g36650,3,1,3
LOC_Os02g54254,24,17,31
LOC_Os06g12876,337,350,326
LOC_Os07g38390,87,113,93
LOC_Os06g07620,4,9,7
LOC_Os02g43050,72,54,100
LOC_Os02g12580,669,557,643
LOC_Os03g61110,234,183,217
LOC_Os10g39670,404,338,438
LOC_Os01g20820,99,75,89
LOC_Os04g02920,241,263,259
LOC_Os03g02030,351,372,418
LOC_Os07g40940,39,43,56
LOC_Os04g49220,23,16,18
LOC_Os01g37210,229,197,245
LOC_Os06g17629,3,5,0
LOC_Os12g39000,0,1,0
LOC_Os10g35294,61,30,54
LOC_Os05g41750,6,1,3
LOC_Os07g32620,28,17,22
LOC_Os05g32810,667,608,847
LOC_Os06g12920,1,4,3
LOC_Os11g24374,0,0,0
LOC_Os08g26520,0,0,0
LOC_Os12g03601,10,8,7
LOC_Os01g21990,2378,2807,2701
LOC_Os02g21350,59,47,31
LOC_Os06g49340,1,0,0
LOC_Os12g13020,0,0,0
LOC_Os03g63090,250,133,198
LOC_Os06g06050,798,725,845
LOC_Os03g31490,10289,8400,10736
LOC_Os03g39980,1,0,0
LOC_Os01g72680,1,0,0
LOC_Os12g18770,347,386,385
LOC_Os08g43050,126,84,95
LOC_Os02g29610,129,148,107
LOC_Os01g02060,3,5,2
LOC_Os03g12730,22,22,25
LOC_Os01g25340,0,0,0
LOC_Os10g08400,1,0,0
LOC_Os02g12290,171,139,160
LOC_Os09g29660,79,76,82
LOC_Os07g35130,10,17,21
LOC_Os03g08470,275,91,126
LOC_Os05g10940,79,91,136
LOC_Os05g13300,5,11,6
LOC_Os01g69030,3798,3122,3175
LOC_Os12g42410,9,3,7
LOC_Os09g39550,430,395,431
LOC_Os03g46920,5,4,1
LOC_Os03g25260,114,115,132
LOC_Os05g33430,1,0,0
LOC_Os12g40570,505,376,485
LOC_Os02g54360,138,129,193
LOC_Os04g22290,0,0,2
LOC_Os04g23090,0,0,0
LOC_Os03g09080,214,196,208
LOC_Os04g24294,305,240,237
LOC_Os12g04640,2,4,0
LOC_Os05g24580,140,105,119
LOC_Os03g54930,2,2,3
LOC_Os01g56730,117,89,117
LOC_Os12g40450,166,151,157
LOC_Os09g28060,442,330,404
LOC_Os01g34880,53,46,68
LOC_Os01g70060,750,709,803
LOC_Os12g37850,53,66,61
LOC_Os11g31100,0,0,0
LOC_Os10g08018,33,53,57
LOC_Os12g02430,4,3,4
LOC_Os04g33950,46,70,89
LOC_Os08g14910,1,0,0
LOC_Os07g36760,14,21,18
LOC_Os07g01670,1,4,1
LOC_Os02g02070,2,4,1
LOC_Os03g10620,11406,6108,8329
LOC_Os07g16150,143,122,150
LOC_Os02g05770,860,668,726
LOC_Os03g62680,191,141,191
LOC_Os03g13770,320,274,285
LOC_Os01g54540,3140,4438,3618
LOC_Os09g31280,347,347,303
LOC_Os08g42100,503,444,446
LOC_Os05g41080,20,14,5
LOC_Os03g52560,3,3,3
LOC_Os12g14160,41,23,39
LOC_Os07g14030,0,0,0
LOC_Os06g48330,707,604,782
LOC_Os02g37830,513,396,481
LOC_Os01g51460,1,0,0
LOC_Os04g12480,174,91,139
LOC_Os03g19940,189,96,181
LOC_Os07g41310,19,41,74
LOC_Os05g10650,21,9,12
LOC_Os07g35630,23,14,33
LOC_Os11g01010,12,8,9
LOC_Os12g44320,0,2,0
LOC_Os02g51150,1947,1519,1590
LOC_Os05g32850,602,452,526
LOC_Os02g47160,91,75,78
LOC_Os05g34320,69,54,70
LOC_Os02g35000,20,28,24
LOC_Os03g44900,916,914,747
LOC_Os11g37980,32,32,57
LOC_Os04g55980,0,0,0
LOC_Os01g31110,2434,3014,2373
LOC_Os06g06410,236,252,261
LOC_Os01g03710,14,21,33
LOC_Os02g56690,10,3,11
ChrSy.fgenesh.mRNA.6,3,0,1
LOC_Os01g39820,3,0,2
LOC_Os12g39090,131,86,146
LOC_Os10g32820,1429,1335,1508
LOC_Os03g08860,493,526,801
LOC_Os03g36320,1,0,1
LOC_Os04g29550,630,357,532
LOC_Os07g10730,6,8,5
LOC_Os01g48690,3209,3841,3690
LOC_Os03g12030,338,309,439
LOC_Os01g47560,86,60,85
LOC_Os02g46830,12,11,8
LOC_Os05g40950,150,127,179
LOC_Os02g17360,323,390,313
LOC_Os11g45990,18,2,7
LOC_Os07g48190,4,3,3
LOC_Os02g56820,11,11,12
LOC_Os01g67870,47,40,34
LOC_Os01g12580,11,10,10
LOC_Os02g42580,277,250,275
LOC_Os03g57840,2518,3445,2774
LOC_Os01g36850,0,0,0
LOC_Os09g15540,0,0,0
LOC_Os03g42070,53,58,50
LOC_Os02g52810,153,124,145
LOC_Os02g54860,396,344,327
LOC_Os05g06960,0,0,0
LOC_Os10g11820,23,15,20
LOC_Os01g59070,62,36,49
LOC_Os04g37570,2,8,7
LOC_Os06g48020,0,0,0
LOC_Os07g43810,3624,5039,5781
LOC_Os01g59265,4,3,2
LOC_Os02g47700,0,0,0
LOC_Os06g06270,2,1,2
LOC_Os02g04120,141,118,130
LOC_Os02g10940,198,104,174
LOC_Os06g14620,85,146,127
LOC_Os01g25360,41,38,54
LOC_Os06g22200,0,0,0
LOC_Os03g46490,145,126,130
LOC_Os05g18960,0,0,0
LOC_Os06g41410,119,97,127
LOC_Os03g26130,2,5,6
LOC_Os02g55010,155,104,145
LOC_Os06g01320,1122,1047,1063
LOC_Os04g05580,0,0,0
LOC_Os10g35810,4092,5125,4521
LOC_Os05g34870,33,18,22
LOC_Os12g27335,725,559,752
LOC_Os11g18570,43,28,19
LOC_Os10g18070,51,42,50
LOC_Os01g63870,155,272,196
LOC_Os01g32849,27,46,32
LOC_Os11g05320,9,7,6
LOC_Os03g49620,895,866,1145
LOC_Os04g38410,82881,115677,107040
LOC_Os02g37330,99,50,79
LOC_Os05g25880,14,16,15
LOC_Os12g28015,1890,1184,1802
LOC_Os09g39334,0,0,1
LOC_Os02g12680,0,0,0
ChrUn.fgenesh.mRNA.88,356,283,348
LOC_Os03g32490,3190,2685,2368
LOC_Os05g41380,5,5,10
LOC_Os01g73680,857,867,724
LOC_Os01g03810,14,16,21
LOC_Os08g23090,36,16,28
LOC_Os12g32520,0,1,1
LOC_Os02g10520,24,19,24
LOC_Os04g16760,565,370,334
ChrUn.fgenesh.mRNA.51,42,77,56
LOC_Os06g08650,42,32,41
LOC_Os09g39270,1045,930,1051
LOC_Os05g40310,1,0,0
LOC_Os03g51740,0,11,1
LOC_Os04g47700,255,286,290
LOC_Os06g07887,5,7,12
LOC_Os11g44460,0,0,1
LOC_Os08g29030,13,13,10
LOC_Os03g05880,8,3,12
LOC_Os11g38330,2,3,8
LOC_Os09g37390,0,1,0
LOC_Os11g47620,2,0,2
LOC_Os05g12300,1949,1706,1666
LOC_Os09g02729,211,203,182
LOC_Os08g36060,55,53,95
LOC_Os08g18910,23,6,16
LOC_Os01g52070,1,2,0
LOC_Os09g20400,0,3,1
LOC_Os08g02410,1990,1943,2167
LOC_Os09g36860,103,113,113
LOC_Os11g20720,0,0,0
LOC_Os09g32750,120,89,106
LOC_Os04g45170,86,51,60
LOC_Os07g06420,23,15,29
LOC_Os10g07380,10,11,11
LOC_Os03g12390,580,267,501
LOC_Os11g02464,409,323,365
LOC_Os06g14240,104,159,323
LOC_Os03g60480,106,105,138
LOC_Os10g36610,1,0,0
LOC_Os02g55500,15,13,8
LOC_Os04g56040,0,0,0
LOC_Os02g36820,0,0,2
LOC_Os04g23360,6,6,1
LOC_Os03g56620,166,104,99
LOC_Os10g28640,310,241,299
LOC_Os04g17680,491,411,400
LOC_Os08g12980,0,2,0
LOC_Os02g35260,2,1,0
LOC_Os06g15320,1,0,1
LOC_Os04g31010,1327,1120,1100
LOC_Os08g09340,1017,942,1181
LOC_Os12g13140,1,3,1
LOC_Os07g33790,335,290,313
LOC_Os06g39906,3495,3233,3761
LOC_Os12g23010,0,2,0
LOC_Os12g38860,39,36,48
LOC_Os11g35860,61,57,67
LOC_Os03g11570,846,671,695
LOC_Os11g02720,20,21,22
LOC_Os02g52660,1,0,0
LOC_Os02g52260,2453,3022,3629
LOC_Os04g26850,612,575,636
LOC_Os05g19920,0,0,0
LOC_Os01g13470,804,679,687
LOC_Os01g52760,107,70,96
LOC_Os04g45600,2247,2479,2543
LOC_Os03g03280,108,104,133
LOC_Os01g04490,62,46,37
LOC_Os10g37970,1,1,1
LOC_Os05g27010,105,88,99
LOC_Os03g37270,637,572,588
LOC_Os01g46926,3036,3286,3045
LOC_Os06g08810,0,1,0
LOC_Os08g43680,126,121,110
LOC_Os10g33790,11,10,7
LOC_Os07g44680,6,1,2
LOC_Os10g27200,2,1,4
LOC_Os12g43630,699,546,519
LOC_Os01g17050,80,162,287
LOC_Os11g12390,0,0,0
LOC_Os03g42030,0,0,0
LOC_Os11g42800,23,34,21
LOC_Os04g49540,214,227,266
LOC_Os03g53140,549,538,468
LOC_Os11g34840,111,65,92
LOC_Os07g42730,1173,939,992
LOC_Os05g06800,0,0,2
LOC_Os10g05210,696,539,599
LOC_Os01g64460,83,86,49
LOC_Os01g21120,22,5,25
LOC_Os01g63800,380,349,385
LOC_Os10g33650,38,27,36
LOC_Os05g36240,193,195,208
LOC_Os08g37104,19,14,14
LOC_Os11g17540,8,4,8
LOC_Os04g44510,28,28,27
LOC_Os03g63530,79,42,53
LOC_Os01g02790,110,7,21
LOC_Os02g07670,29,11,17
LOC_Os07g08160,18,15,67
LOC_Os12g08480,0,0,0
LOC_Os07g49110,9884,11361,8077
LOC_Os06g21270,3,4,3
LOC_Os03g53845,259,255,305
LOC_Os01g51640,706,535,558
LOC_Os12g02000,26,23,28
LOC_Os07g41080,697,913,768
LOC_Os06g03660,652,495,557
LOC_Os11g02310,27,48,35
LOC_Os08g26120,0,0,0
LOC_Os03g08200,1,0,0
LOC_Os03g19830,7,10,11
LOC_Os06g04280,367,285,333
LOC_Os12g02620,189,101,152
LOC_Os02g03720,1072,1553,1420
LOC_Os10g03320,4,2,4
LOC_Os05g01780,125,113,107
LOC_Os03g31280,0,0,0
LOC_Os04g39320,159,4,28
LOC_Os11g36470,1860,1720,1779
LOC_Os07g44030,0,1,0
LOC_Os09g07764,117,105,103
LOC_Os09g07614,147,98,128
LOC_Os01g57720,2042,1938,1784
LOC_Os12g04370,2,8,5
LOC_Os03g40720,14,20,22
LOC_Os06g40140,0,1,4
LOC_Os01g62160,120,85,120
LOC_Os11g35550,2,2,2
LOC_Os04g35140,98,92,129
LOC_Os06g12649,546,579,545
LOC_Os06g46330,140,102,116
LOC_Os10g17990,81,53,63
LOC_Os04g49940,209,196,221
LOC_Os07g44230,138,118,127
LOC_Os06g49570,0,0,0
LOC_Os05g23130,428,523,515
LOC_Os03g63930,125,131,117
LOC_Os07g27480,295,230,271
LOC_Os04g11040,1,4,1
LOC_Os04g55060,468,413,481
LOC_Os04g58720,11,11,23
LOC_Os11g25490,0,0,0
LOC_Os07g38560,444,436,534
LOC_Os07g23740,602,479,464
LOC_Os06g09570,599,554,445
LOC_Os09g29180,5,2,1
LOC_Os10g03855,14,7,8
LOC_Os02g53530,229,334,284
LOC_Os11g48040,185,152,157
LOC_Os07g47030,1502,1396,1342
LOC_Os02g21130,0,0,0
LOC_Os05g25490,0,0,0
LOC_Os08g16800,0,0,0
LOC_Os01g21590,0,0,1
LOC_Os06g46980,1,0,1
LOC_Os01g36840,594,518,574
LOC_Os07g17210,2,6,1
LOC_Os04g52940,594,420,526
LOC_Os03g58260,172,145,147
LOC_Os01g25280,0,0,0
LOC_Os03g46110,0,0,0
LOC_Os03g07720,1,0,0
LOC_Os04g09900,63,12,16
LOC_Os05g31744,119,101,81
LOC_Os08g33270,0,1,0
LOC_Os04g55930,800,506,678
LOC_Os04g59370,0,0,1
LOC_Os06g04340,86,84,73
LOC_Os05g10414,1282,990,1238
LOC_Os02g14770,1933,1411,1506
LOC_Os02g33770,193,158,240
LOC_Os03g48950,175,159,148
LOC_Os11g41820,1541,1291,1241
LOC_Os09g03630,629,586,585
LOC_Os08g04150,169,121,142
LOC_Os07g26210,1181,1094,1147
LOC_Os02g54180,0,0,0
LOC_Os05g48620,1787,1561,1569
LOC_Os10g15140,2,0,0
LOC_Os11g40490,0,1,0
LOC_Os09g36160,1,0,1
LOC_Os05g26940,24,18,25
LOC_Os02g51830,509,563,522
LOC_Os08g44880,0,0,1
LOC_Os06g22260,0,0,0
LOC_Os06g04070,7970,6625,7526
LOC_Os11g39320,342,293,308
LOC_Os08g44240,1325,1027,1068
LOC_Os08g29200,13,5,9
LOC_Os06g01210,70717,84176,76548
LOC_Os02g50880,723,527,679
LOC_Os01g21250,887,878,730
LOC_Os01g73950,221,197,200
LOC_Os11g22630,2,3,0
LOC_Os05g38130,9,9,9
LOC_Os01g41040,127,78,108
LOC_Os01g46720,3340,3415,2712
LOC_Os05g16750,0,0,0
LOC_Os08g23220,0,1,0
LOC_Os07g25660,0,0,0
LOC_Os04g45040,982,797,843
LOC_Os08g40160,5877,6772,6700
LOC_Os08g31760,8,13,17
LOC_Os02g13990,2174,1947,1836
LOC_Os01g67314,16,15,18
LOC_Os03g11160,17,12,23
LOC_Os08g10450,679,548,568
LOC_Os03g16470,297,426,445
LOC_Os06g38460,1,0,0
LOC_Os07g17510,0,1,0
LOC_Os05g01970,998,1117,977
LOC_Os01g27370,1,3,2
LOC_Os02g38020,7818,7511,6279
LOC_Os12g21470,10,27,0
LOC_Os01g71590,2366,2085,2097
LOC_Os06g29740,1,0,3
LOC_Os05g33900,597,618,881
LOC_Os03g17084,984,744,812
LOC_Os02g32504,177,175,196
LOC_Os09g30120,945,395,583
LOC_Os01g16200,0,0,0
LOC_Os05g24480,4,4,5
LOC_Os05g43880,1,5,3
LOC_Os05g41490,25,24,68
LOC_Os01g70140,588,476,446
LOC_Os06g11330,121,107,121
LOC_Os07g11180,1,0,0
LOC_Os01g47450,1298,1519,1450
LOC_Os09g29210,12,3,3
LOC_Os02g12600,259,236,254
LOC_Os12g36400,2903,3080,2107
LOC_Os02g01930,313,261,330
LOC_Os01g48200,764,740,760
LOC_Os01g20970,0,0,0
LOC_Os08g44790,1,1,6
LOC_Os11g04480,1708,1448,1533
LOC_Os07g18960,10,13,4
LOC_Os04g24360,0,0,0
LOC_Os09g12800,298,250,290
LOC_Os09g37890,0,0,2
LOC_Os05g50100,89,44,69
LOC_Os01g25560,0,1,2
LOC_Os05g45520,21,39,36
LOC_Os03g08810,285,288,293
LOC_Os08g42760,154,154,144
LOC_Os04g35520,1457,1179,1681
LOC_Os06g36340,1,7,6
LOC_Os09g10620,2,2,0
LOC_Os05g01760,910,801,693
LOC_Os03g61930,869,733,753
LOC_Os12g02030,1,0,0
LOC_Os05g50350,28,33,29
LOC_Os05g39490,0,3,0
LOC_Os02g07450,247,160,233
LOC_Os12g34320,54,31,43
LOC_Os05g09630,518,437,504
LOC_Os12g23160,0,0,0
LOC_Os07g38480,36,21,55
LOC_Os03g59620,274,170,208
LOC_Os12g17900,941,918,804
LOC_Os02g24010,0,0,0
LOC_Os09g30350,426,296,411
LOC_Os07g04130,0,0,1
LOC_Os07g26870,1,0,0
LOC_Os05g04180,300,233,243
LOC_Os06g08910,703,670,770
LOC_Os03g50720,18,9,10
LOC_Os03g44300,802,975,846
LOC_Os04g38520,2928,2575,2709
LOC_Os09g03600,760,627,738
LOC_Os05g40290,374,247,265
LOC_Os01g08840,5,0,3
LOC_Os10g23970,1,0,0
LOC_Os05g26820,467,455,406
LOC_Os05g01270,6371,9110,6496
LOC_Os02g45490,1190,951,952
LOC_Os05g38660,135,95,145
LOC_Os01g52010,579,504,796
LOC_Os12g24010,0,0,0
LOC_Os11g29830,0,0,0
LOC_Os05g50960,2,0,4
LOC_Os10g25590,0,0,3
LOC_Os01g07120,142,131,200
LOC_Os02g49760,820,738,874
LOC_Os07g31660,1,0,1
LOC_Os12g12010,92,94,96
ChrSy.fgenesh.mRNA.64,28,24,24
LOC_Os10g04520,48,36,35
LOC_Os09g39540,821,804,809
LOC_Os08g44830,2,3,4
LOC_Os02g39280,4,2,1
LOC_Os08g37020,55,23,35
LOC_Os05g48970,465,415,376
LOC_Os01g15399,69,33,47
LOC_Os01g72950,1818,2156,2293
LOC_Os07g30154,0,0,0
LOC_Os04g03370,0,0,0
LOC_Os10g28299,0,0,0
LOC_Os12g03650,9,8,10
LOC_Os08g03550,193,191,203
LOC_Os06g10109,19,9,20
LOC_Os10g21244,88,71,116
LOC_Os05g37140,133,101,149
LOC_Os03g18570,1365,1194,1307
LOC_Os01g53779,348,211,281
LOC_Os12g13300,32,34,27
LOC_Os12g30550,1,0,0
LOC_Os08g10400,56,40,54
LOC_Os06g37780,0,0,0
LOC_Os03g21030,288,213,379
LOC_Os07g39090,117,78,88
